"LineNumber","Line","Path"
"21","      anim.progress = anim.progress + (elapsed / anim.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Animations.lua"
"43","        relativeProgress = 1 - ((region.expirationTime - time) / region.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Animations.lua"
"322","      local expirationTime = now + duration - elapsed -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"542","              remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"544","            if triggerUseRemaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"589","              local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"603","                    local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"646","                local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1261","              remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1263","            if triggerUseRemaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1308","              local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1355","                local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1687","            remainingTime = bar.expirationTime - GetTime() + extendTimer -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1689","          if triggerUseRemaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1734","            local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1748","                  local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"1791","              local bar_remainingTime = state.expirationTime - GetTime() + (state.extend or 0) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BossMods.lua"
"648","          local remaining = (auraData.expirationTime - time) / modRate -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"690","        local remaining = (auraData.expirationTime - time) / modRate -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1036","    if state.stacks then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1041","    if state.duration then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1110","    if state.spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1120","    if state.auraInstanceID then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1595","              local remaining = (auraData.expirationTime - time) / modRate -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"2122","  if triggerInfo.auraspellids then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"2152","  if triggerInfo.auraspellids then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"2841","  if useStacks then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"2996","  if use_ignore_spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"3211","            if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"3341","      if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"3358","      if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"3775","    if trigger.use_spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"4159","      if updatedSpellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"4375","      if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\BuffTrigger2.lua"
"1927","          if t.spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Modernize.lua"
"1928","            if t.useExactSpellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Modernize.lua"
"2262","    if useFocus then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"5343","    name = L[""Cooldown/Charges/Count""], -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"5470","            if duration then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"5471","              expirationTime = expirationTime + (trackedCharge - charges) * duration -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"6017","          local remaining = expirationTime > 0 and (expirationTime - GetTime()) or 0; -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"6205","        local remaining = startTime + duration - GetTime(); -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"6220","          local remaining = expirationTime > 0 and (expirationTime - GetTime()) or 0; -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"6792","      if trigger.use_ignoreSpellCooldown then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"7341","          if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"8748","      if trigger.use_remaining then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"9084","        if fetchLegendaryPower then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"9775","                  finish = lastFinish + GetUnitEmpowerStageDuration(unit, i - 1) / 1000 -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"9971","        init = ""endTime and startTime and (endTime - startTime)/1000 or 0"", -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"10334","          if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"10350","          if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"12445","        remainingStr = string.format(""%i:"", math.floor(remaining / 60)); -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"12492","        durationStr = string.format(""%i:"", math.floor(duration / 60)); -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Prototypes.lua"
"470","          if modRate then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Types.lua"
"487","            if modRate then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Types.lua"
"3628","if PowerBarColor then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Types.lua"
"213","						if definitionInfo.spellID then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Types_Retail.lua"
"339","	local name = (""UF-HolyPower-DepleteRune%d""):format(i) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\Types_Retail.lua"
"6528","      if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\WeakAuras.lua"
"6542","      if spellId then -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\WeakAuras.lua"
"12","  model_fileId = ""122968"", -- spells/arcanepower_state_chest.m2 & Creature/Arthaslichking/arthaslichking.m2 @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\RegionTypes\Model.lua"
"547","    self.expirationTime = startTime + adjustMin + self.duration -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\RegionTypes\RegionPrototype.lua"
"142","    local progress = 1 - (remaining / self.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\RegionTypes\StopMotion.lua"
"338","          local progress = 1 - (remaining / self.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\RegionTypes\StopMotion.lua"
"147","          local progress = 1 - (remaining / self.progressData.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\SubRegionTypes\StopMotion.lua"
"151","          local progress = 1 - (remaining / self.progressData.duration) -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\SubRegionTypes\StopMotion.lua"
"286","            tick_placement = self.progressData[i].expirationTime - GetTime() + self.tick_placements[i] -- @needs-review: midnight-arithmetic","C:\Program Files (x86)\World of Warcraft\_beta_\Interface\AddOns\WeakAuras\WeakAuras\SubRegionTypes\Tick.lua"
